"filename", "language", "JSON", "TypeScript", "HTML", "CSS", "Markdown", "JavaScript", "JSON with Comments", "XML", "Docker", "Properties", "SCSS", "comment", "blank", "total"
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\37b728c72fdb09ef4f1ba76ad82a98747066a259175611ef328d17a53a3f5e25.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\383619c502689ebb7e36ace8303a7ca76f7f010e90db27242419c6fd171c22f6.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\38f477d07f5be26654ab6fda43ebab81fd56ffb420d6a54bb4685cad06228f72.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\3900f12493b1bf1dfe3e476f7c79a7499743a7ecac707fda2aec883256d35985.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\39469e83a352bc066a74dff68d91bd2636654f90ce6877a82d1155c0300058d3.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\39795acd39325aeb477bab844312c8c8003831cefbd954fb3e60668e137005db.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\39a1573da6068f16085ccccf889e0f8593b8e82fd4e7569b9876c87d60b5df72.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\3c52edb06e827c0fea9c1677fcbac70ec467fdd6b4b0be6103ce2df4fc080bd5.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\3c657b351e376aa5d2d4daaaebb0c59a77ec1e6f6dc55f3182d4629ad0fdaf09.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\3c8051ce1c861a29755113ddb6b052f13e08ca7d109d9ce3c4db82a66ad384c4.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
