"filename", "language", "Markdown", "JSON", "YAML", "Docker", "Properties", "JavaScript", "HTML", "TypeScript", "JSON with Comments", "comment", "blank", "total"
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\services\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\services\oneMap\oneMapService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\services\services.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\services\stbTourism\stbTourism.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\services\strava\stravaService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -59, 0, 0, -16, -75
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\services\tripAdvisor\tripAdvisorService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\services\youtube\youtubeService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\types\api\stravaTypes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -53, 0, 0, -7, -60
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\utils\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\tests\controller\controller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\tests\middleware\middleware.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\tests\model\model.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\tests\routes\routes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\tests\services\services.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\tests\utils\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, -16, -91, -9, -116
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\webpack.config.js", "JavaScript", 0, 0, 0, 0, 0, -39, 0, 0, 0, -14, -2, -55
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\docker-compose.yml", "YAML", 0, 0, -21, 0, 0, 0, 0, 0, 0, -5, -3, -29
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\nginx\Dockerfile", "Docker", 0, 0, 0, -2, 0, 0, 0, 0, 0, -2, -1, -5
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\nginx\default.conf", "Properties", 0, 0, 0, 0, -13, 0, 0, 0, 0, -5, -3, -21
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\package-lock.json", "JSON", 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, -1, -7
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\package.json", "JSON", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"Total", "-", -67, -21613, -21, -10, -13, -837, -205, -298, -16, -164, -323, -23567
